Fecha Creación,Mesa,Negocio,No. Factura,Total,Categoría,Producto,Precio de venta,Cantidad,Total,Total Bruto,Impuesto,Valor Descuentos,Promoción,Valor Neto,Costo Promedio,Margen de utilidad ($),Margen de utilidad (%)
17/8/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM2285,"$137,900.00",Helados,Monki - Pequeno,"$10,900.00",5,"$54,500.00","$50,462.96",INC,$0.00,$0.00,"$50,462.96","$8,543.15","$41,919.81",83.07
17/8/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM2285,"$137,900.00",Helados,Monki - Mediano,"$13,900.00",6,"$83,400.00","$77,222.22",INC,$0.00,$0.00,"$77,222.22","$18,002.58","$59,219.64",76.69
3/8/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM1588,"$114,000.00",Toppings,Topping o salsa generico,"$2,500.00",4,"$10,000.00","$9,259.26",INC,$0.00,$0.00,"$9,259.26","$3,600.00","$5,659.26",61.12
3/8/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM1588,"$114,000.00",Helados,Hielo - Pequeno,"$9,900.00",1,"$9,900.00","$9,166.67",INC,$0.00,$0.00,"$9,166.67","$2,147.83","$7,018.84",76.57
3/8/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM1588,"$114,000.00",Helados,Monki - Pequeno,"$10,900.00",1,"$10,900.00","$10,092.59",INC,$0.00,$0.00,"$10,092.59","$1,708.63","$8,383.96",83.07
3/8/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM1588,"$114,000.00",Helados,Monki - Mini,"$6,900.00",4,"$27,600.00","$25,555.56",INC,$0.00,$0.00,"$25,555.56","$6,234.12","$19,321.44",75.61
3/8/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM1588,"$114,000.00",Helados,Monki - Mediano,"$13,900.00",4,"$55,600.00","$51,481.48",INC,$0.00,$0.00,"$51,481.48","$12,001.72","$39,479.76",76.69
3/10/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM4538,"$107,700.00",Helados,Monki - Mini,"$7,900.00",2,"$15,800.00","$14,629.63",INC,$0.00,$0.00,"$14,629.63","$3,117.06","$11,512.57",78.69
3/10/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM4538,"$107,700.00",Toppings,Topping o salsa generico,"$2,500.00",1,"$2,500.00","$2,314.81",INC,$0.00,$0.00,"$2,314.81",$900.00,"$1,414.81",61.12
3/10/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM4538,"$107,700.00",Helados,Hielo - Mediano,"$14,900.00",6,"$89,400.00","$82,777.78",INC,$0.00,$0.00,"$82,777.78","$14,174.58","$68,603.20",82.88
